"","Provincia","Total","0 años","1 año","2 años","3 años","4 años","5 años","6 años","7 años","8 años","9 años","10 años","11 años","12 años","13 años","14 años","15 años","16 años","17 años","18 años","19 años","20 años","21 años","22 años","23 años","24 años","25 años","26 años","27 años","28 años","29 años","30 años","31 años","32 años","33 años","34 años","35 años","36 años","37 años","38 años","39 años","40 años","41 años","42 años","43 años","44 años","45 años","46 años","47 años","48 años","49 años","50 años","51 años","52 años","53 años","54 años","55 años","56 años","57 años","58 años","59 años","60 años","61 años","62 años","63 años","64 años","65 años","66 años","67 años","68 años","69 años","70 años","71 años","72 años","73 años","74 años","75 años","76 años","77 años","78 años","79 años","80 años","81 años","82 años","83 años","84 años","85 años","86 años","87 años","88 años","89 años","90 años","91 años","92 años","93 años","94 años","95 años","96 años","97 años","98 años","99 años","100 y más años","file","año","sexo"
"11","48 Bizkaia",550612.261887,5171.30609,5129.611582,4867.948934,4906.047791,4717.681585,4616.827004,4441.192507,4330.215225,4180.071719,4149.510235,4106.375495,4303.932994,4437.983872,4352.976825,4547.02002,4612.64189,4880.429809,5103.538712,5603.933473,5862.0632,6169.023012,6537.165771,6979.636089,7632.154082,8040.846067,8588.116195,9331.349473,9796.276095,9927.69729,9844.605409,9726.351561,9616.002718,9780.424492,9641.761762,9399.144135,9314.69052,9203.230619,9430.131493,9334.96663,9412.31692,9726.459401,9219.124593,9069.988921,8787.199846,8997.37704,9184.799411,8712.704578,8838.984258,8112.362436,7994.831691,7598.416047,7546.277232,7544.761395,7042.236121,7248.662323,7449.497109,7614.792564,7045.292865,6742.283069,6853.158587,6674.050924,6320.570831,5593.232674,5236.732571,5719.197668,4193.396392,4531.830863,4987.416666,5482.922779,5562.81757,5640.521285,5650.344192,5433.010082,5163.243261,4924.182542,4598.686,4374.396309,3939.950406,3611.516231,3198.041124,2861.135062,2478.761439,2175.927742,1779.59632,1485.45227,1172.91992,913.869184,761.537678,649.79922,539.232516,418.868402,390.848114,274.139294,160.218166,133.087568,67.141194,60.100494,42.557734,27.533954,14.949772,12.116692,"2005hombres.xls","2005","hombres"
"12","09 Burgos",179969.113604,1562.912313,1456.247143,1521.732099,1444.431778,1515.412068,1459.288767,1429.766419,1417.009025,1384.837358,1344.499999,1433.97602,1532.10486,1597.058242,1563.064627,1648.153412,1673.207009,1826.667199,1765.842331,1863.068418,2001.108159,1964.170839,2163.094591,2266.118847,2380.32636,2534.711621,2583.18072,2952.782888,2830.193257,3051.951683,2903.968197,2936.620618,2990.917464,2897.323236,2922.909932,2899.09338,2974.923325,2998.077851,2855.313263,2835.030996,2979.257074,2827.704909,2983.643867,2884.400757,2887.656425,3004.825797,2904.790204,2943.864961,2851.368721,2748.790655,2565.468009,2507.345675,2605.78852,2460.075162,2383.939944,2316.497668,2361.373952,2464.26536,2182.743617,2057.139314,2164.286356,2016.102081,2064.337464,1833.809974,1680.527476,1817.60839,1324.34059,1435.941368,1559.907178,1856.830354,1772.78244,1701.268188,1795.260326,1832.758728,1755.359334,1780.475504,1564.720742,1580.658458,1454.186188,1415.468052,1274.831584,1179.539404,1167.82516,1092.851946,934.405494,711.338856,501.957176,486.32377,377.06376,333.359794,278.64017,209.966142,182.267186,149.61186,119.26597,66.96745,78.849316,36.82441,24.58441,29.050228,7.142698,17.780724,"2005hombres.xls","2005","hombres"
"13","10 Cáceres",201901.272481,1805.038887,1770.919177,1806.352326,1831.814695,1924.840032,1872.489479,1943.202332,1892.019138,1880.975237,1986.731803,2057.311238,2179.671354,2216.558658,2204.271105,2405.283652,2446.431997,2496.759627,2612.459545,2594.940832,2634.402281,2637.678117,2800.390928,2815.034778,2825.039603,2945.837193,2921.037219,2955.022242,2831.550512,2997.651039,2918.425961,2842.95293,2965.494832,2828.517597,2985.612649,3007.239866,3046.619599,3201.443018,3182.478028,3238.870379,3244.896232,3454.811928,3429.564137,3362.569374,3268.562741,3453.988383,3251.741328,3166.714704,3021.31651,2812.304934,2563.588105,2533.159914,2551.636617,2471.467243,2266.529205,2141.028692,2104.527557,2201.068974,1891.006312,1931.648306,2068.415636,2086.81963,2119.169464,1814.395092,1553.48402,2224.794312,1653.51858,1592.54512,1792.088677,2355.30215,2251.104357,2179.498938,2275.040358,2241.674778,2128.456926,2041.765112,1777.872146,1757.56939,1626.587226,1529.835328,1377.384022,1270.986012,1096.6955,1059.537832,982.100308,680.200034,573.075258,401.382152,355.09112,284.175508,240.440194,197.437754,173.920058,129.211778,129.536006,66.905168,60.127308,39.219124,32.815062,25,12.05,12.543962,"2005hombres.xls","2005","hombres"
"14","11 Cádiz",576041.372657,7297.839268,7023.112374,6799.696251,7033.228427,6976.653995,6590.843108,6465.259438,6497.579458,6221.397469,6472.844577,6625.970512,6960.566367,7290.045299,7392.465074,7573.34243,7615.282572,7704.11744,7951.933591,8161.864227,8342.190495,8686.6778,8986.414504,9370.973199,9706.668789,9918.942158,10164.450774,10371.150456,10531.696893,10572.367334,10371.733277,10327.462888,10059.631251,10160.962447,10090.92475,10128.76646,9906.608438,9850.490127,10004.859535,9897.120223,9761.874368,9999.121208,9108.681016,8803.240581,8570.607019,8858.941813,8661.160463,8357.619318,8243.448395,7291.560408,7154.845446,6750.487699,6916.035508,6866.052495,6227.909426,5671.784168,6042.992836,6554.091646,5878.89944,5586.334908,6030.126766,5444.074832,6006.381855,4584.290957,3983.436963,5256.775649,3943.002366,3853.414629,4018.050568,4305.149825,4186.970772,4092.696286,4154.139877,3923.418613,3666.255205,3224.264128,2965.826944,2769.598384,2270.971292,2209.790392,1853.397886,1667.287538,1489.425716,1360.344772,1198.624828,911.463467,721.628759,551.372455,434.553214,400.223586,285.255285,239.134904,181.066616,128.826586,106.61889,86.467104,47.215704,25.066502,26.152236,8.85,7.835278,12.103192,"2005hombres.xls","2005","hombres"
"15","39 Cantabria",270669.104649,2568.77324,2539.742128,2441.710664,2253.493343,2327.405937,2182.262751,2146.585569,2216.621957,2136.923869,2123.841922,2158.83051,2254.232685,2508.247474,2442.864418,2551.528303,2526.347668,2689.218505,2810.47842,3004.421669,3126.731947,3295.342033,3531.096717,3717.029412,4088.245421,4328.493396,4418.101206,4676.795757,4778.571794,4856.757784,4844.009906,4700.412854,4577.164259,4583.163784,4484.067948,4600.041838,4441.030705,4504.836004,4492.590955,4455.396755,4358.793223,4350.513833,4375.81456,4280.264958,4311.618337,4323.337783,4404.65395,4465.798442,4385.859778,4161.760684,4007.340277,3765.09394,3748.421998,3837.687888,3574.22748,3638.292634,3487.8002,3675.119318,3314.714836,3209.753163,2920.640028,2815.508628,2793.708944,2413.840664,2213.913202,2482.189736,1711.81106,2118.842415,2299.150415,2602.320651,2578.148056,2570.226089,2548.40748,2549.368891,2403.290817,2344.909031,2135.985756,2163.40127,1907.32279,1863.466906,1637.523164,1608.118676,1366.252346,1178.074692,1045.683812,817.148642,637.508722,610.680932,473.083792,431.087982,345.362877,270.696314,204.998518,160.17814,132.885636,88.16749,61.85038,44,22.266654,16.366654,11.583574,8.854034,"2005hombres.xls","2005","hombres"
"16","12 Castellón/Castelló",267160.052719,2926.068208,2952.042368,2842.106378,2733.327184,2550.396219,2578.641332,2540.110748,2566.510087,2428.12313,2500.918615,2472.822254,2567.490354,2604.000516,2620.045346,2571.54712,2721.649851,2722.476517,2881.581399,2996.455436,3162.290106,3435.160591,3470.537015,3808.966644,4246.759949,4539.437458,4799.983002,5087.171775,5203.770537,5415.788962,5145.273863,5087.268347,5060.697352,4900.196876,4975.431767,4812.24018,4712.76759,4883.871515,4875.728262,4515.051726,4517.257054,4327.177434,4332.274493,4156.593801,4022.376698,4034.707615,3881.713451,3894.740149,3678.057186,3381.837439,3237.869404,3166.839579,3062.408615,3232.158057,2919.700403,2888.657563,3031.589899,3201.709878,2893.048598,2734.945207,2849.197719,2645.084794,2652.467434,2311.982527,2240.278745,2836.270155,1547.440666,1938.699718,2312.020588,2355.01912,2279.713057,2243.852637,2331.120842,2227.651632,2068.338388,2078.44042,1813.137269,1775.572324,1580.757305,1611.0036,1466.54838,1346.858665,1246.788937,1163.934338,974.58423,772.500106,599.686818,523.797796,360.608616,332.8133,295.816056,234.068326,194.364352,130.43118,98.751558,62.725146,47.942978,36.683346,26.266654,15.683346,7.266654,13.513895,"2005hombres.xls","2005","hombres"
"17","13 Ciudad Real",244255.927518,2499.282229,2359.979608,2339.924583,2387.667318,2451.695595,2418.84155,2504.868457,2433.263413,2563.915171,2697.467286,2855.440739,2929.084692,2984.908858,3052.950257,3063.952481,3111.02315,3159.245954,3096.138998,3223.524967,3217.862648,3478.823587,3515.567221,3717.845382,3798.559113,3958.757361,3954.577617,4025.587747,4014.512611,3898.521949,3968.779241,3871.401641,3856.858028,3803.39624,3655.480556,3844.301244,3823.547521,3995.038318,3955.602511,3925.920982,4059.18972,4165.400354,3980.49006,3696.055775,3843.846346,3884.279696,3742.688792,3654.310674,3348.545552,3034.643359,2742.560814,2620.997454,2682.249448,2721.325071,2454.56396,2423.975114,2476.393086,2623.791609,2337.521477,2075.554934,2244.737682,2263.85983,2412.120957,1861.054234,1603.53965,2670.863097,1302.785756,1802.304154,2350.758011,2240.315129,2236.916774,2236.010166,2361.943687,2404.931058,2262.444661,2385.62437,2260.146182,2086.861372,1878.691306,1895.040664,1575.97001,1388.17754,1394.051348,1303.431162,1063.915446,761.123382,622.890634,488.206367,401.273704,346.740274,278.78122,244.749392,194.13976,154.564584,99.378178,62.123152,42.293864,39.1,25.442648,6.909302,9.95,9.266692,"2005hombres.xls","2005","hombres"
"18","14 Córdoba",380358.773097,4236.921728,4228.215824,4120.737072,4141.761974,4207.069584,4201.001959,4249.950078,4094.782548,4145.987556,4233.080746,4506.466858,4686.11035,4917.455246,4872.335371,5021.327206,5062.054986,5116.746304,4986.774584,5128.127368,5151.16098,5529.916757,5481.047466,5724.185896,5934.302485,6057.624095,6206.987563,6294.583829,6228.640474,6237.722904,6314.73119,6059.330181,5777.613742,5931.477577,5931.309534,5908.044874,6132.909845,6152.182664,6395.394344,6271.311798,6161.252386,6561.38255,6205.024597,5895.544947,5781.730788,5796.317958,5737.29431,5581.092537,5313.14114,4856.753922,4593.123032,4469.130838,4564.936316,4365.009752,3891.020486,3328.176374,3911.623096,4224.33304,3816.899098,3222.683042,3775.738576,3695.731512,3803.380751,3155.875734,2791.187476,3559.677006,2566.563972,2770.316472,3088.616624,3436.416772,3426.197326,3215.89693,3579.663402,3256.883302,3253.370288,3111.876972,2940.529934,2717.869016,2470.107286,2271.03445,2125.342156,1889.953926,1706.433272,1433.037228,1297.629704,1073.74899,800.189126,646.874485,509.013924,388.246052,359.096584,283.040124,203.68202,190.965552,132.72951,113.811984,68.82989,36.830156,27.798974,12.216654,5.999772,12.513464,"2005hombres.xls","2005","hombres"
"19","15 Coruña, A",532451.151624,4456.248649,4380.783001,4129.27058,4205.438947,4260.141724,3989.945597,4154.758728,4057.948958,3936.605905,4045.639135,4111.609101,4546.2661,4724.309593,4825.146266,4819.084482,5105.77026,5245.86819,5580.116644,5664.187271,6113.007901,6566.502982,6884.249849,7526.238489,8054.855288,8483.900129,8663.818365,9194.714903,9368.214741,9400.677411,9308.926859,9075.966806,8943.480233,9005.21765,8753.18999,8499.866731,8453.76426,8558.15223,8364.340461,8138.195147,8157.721646,8333.657289,8096.117014,7995.511636,7948.207068,8212.970409,8038.799457,7809.587068,7785.262147,7505.185849,7309.811785,7231.562464,7139.629165,7260.976324,6621.592543,6887.999944,7095.27798,7388.224645,6692.041654,6962.114573,6973.652917,6626.139296,6664.015374,5812.030314,5508.573992,5802.468642,4328.227072,4560.700864,5258.707533,6168.617371,6124.840088,5752.904304,5686.362786,5619.266692,5043.385542,4831.994962,4350.674371,4212.644513,3795.196872,3406.739562,3025.231912,2760.781361,2536.889176,2433.417024,1966.52114,1856.173564,1306.572176,1223.695146,1002.251518,912.981716,689.146548,594.635244,423.91489,339.285706,264.28032,180.72346,107.49654,98.330722,48.286224,29.582624,25.633346,29.507984,"2005hombres.xls","2005","hombres"
"20","16 Cuenca",103351.425472,827.557884,861.124472,893.022664,949.829073,906.005989,952.138063,841.042552,925.835324,906.501578,905.34446,939.800338,986.851018,1118.765154,1081.683392,1091.055419,1115.806982,1102.726788,1165.23623,1119.223108,1157.63989,1274.297799,1300.917418,1335.296622,1459.240408,1501.193081,1450.65654,1554.115615,1614.783695,1611.766395,1571.545262,1540.145849,1534.255354,1512.460795,1462.367215,1562.866298,1619.989693,1688.805325,1675.414496,1631.259481,1609.478646,1724.11238,1629.345403,1627.515912,1651.933874,1692.287542,1608.864042,1521.214279,1366.03468,1262.810519,1160.076387,1120.293924,1098.285804,1142.740636,1025.319914,1016.92979,1077.820446,1122.951498,988.600542,890.796562,976.537822,1055.531446,957.3642,848.468868,871.906514,1403.032732,595.009104,970.089758,1146.0696,1221.952461,1200.942894,1219.07726,1364.890356,1245.709552,1258.58079,1275.650384,1206.70977,1149.416838,1041.559444,988.812742,829.879412,806.056954,781.136634,735.921376,631.61557,432.559786,336.23208,347.51356,248.002262,214.657106,193.745762,174.807772,155.218308,105.938248,78.330174,63.30076,49.73365,29.548462,14.783346,14.734296,6.633612,17.783308,"2005hombres.xls","2005","hombres"
